Team name,Shots per game,Shots on target per game,Dribbles per game,Fouled per game,Rating
Barcelona,16.5,6.8,15.6,16.1
Marseille,13.3,5.2,14.7,13.1
Juventus,16.3,5.1,13.6,15.3
Bayern Munich,19.9,8.5,13.5,12.2
Everton,13.3,4.6,12.6,11.3
Lorient,11.5,4.2,12.6,13.6
Arsenal,15.6,5.7,12.6,11.7
Bayer Leverkusen,14.7,5.4,12.3,14.4
Borussia M.Gladbach,12.6,5.6,12.2,14.1
Wolfsburg,14.9,5.6,12.1,13.8
Aston Villa,10.7,3.3,11.9,9.7
Empoli,13.7,4.2,11.8,19.6
Schalke,14.9,4.9,11.8,13.3
Paris Saint Germain,14.9,6.7,11.7,11.5
Bordeaux,11.3,3.4,11.7,13.2
Chelsea,13.9,4.1,11.3,13.5
Genoa,12.2,3.6,11.3,15.7
Inter,13.2,4.5,11.2,12.7
Bournemouth,12.4,4.0,11.2,10.8
Borussia Dortmund,16.3,6.7,11.1,13.4
Real Madrid,20.0,7.9,11.1,13.6
Rennes,10.9,3.9,11.1,10.4
Nice,10.3,4.5,11.0,13.3
VfB Stuttgart,15.1,5.2,10.9,13.4
Toulouse,11.6,4.2,10.8,13.9
Atletico Madrid,13.1,4.2,10.8,11.7
Fiorentina,15.0,5.1,10.7,15.3
Werder Bremen,12.5,3.8,10.5,14.7
Mainz,10.7,4.1,10.5,14.3
Montpellier,10.2,3.9,10.5,15.2
Leicester,13.5,4.8,10.5,8.8
Crystal Palace,12.3,4.4,10.2,11.2
Manchester City,17.4,6.5,10.1,10.3
Liverpool,16.2,4.7,10.0,8.9
Torino,12.3,4.5,10.0,12.6
Stoke,10.8,3.4,10.0,10.0
Roma,14.5,5.4,9.9,12.4
Napoli,16.9,5.8,9.9,11.9
Lille,13.4,3.8,9.8,16.5
AC Milan,14.6,4.3,9.8,16.3
Real Betis,11.4,3.4,9.8,13.7
Hamburger SV,11.6,3.6,9.6,15.3
Tottenham,15.3,6.2,9.6,10.5
Hertha Berlin,9.3,4.0,9.5,15.3
Lazio,13.1,3.8,9.4,13.4
Monaco,11.6,4.4,9.4,14.3
Palermo,12.4,3.6,9.3,13.6
West Ham,13.7,4.8,9.3,11.8
Las Palmas,11.2,4.1,9.2,15.7
Nantes,10.8,3.1,9.2,9.9
Newcastle United,9.3,3.3,9.2,10.9
Levante,10.9,3.3,9.1,13.4
Manchester United,11.6,3.8,9.0,10.0
Carpi,11.9,3.7,9.0,14.6
Celta Vigo,12.9,4.7,8.9,14.4
Lyon,14.7,4.8,8.8,14.1
Valencia,10.2,3.7,8.7,17.8
Sevilla,13.8,5.3,8.7,14.1
Hannover,9.6,3.3,8.6,12.8
Udinese,12.5,3.9,8.6,15.1
Troyes,12.0,3.6,8.6,11.2
Granada,11.7,3.5,8.5,14.5
FC Cologne,12.5,4.8,8.4,13.9
Norwich,11.2,3.6,8.3,7.3
Watford,12.1,3.8,8.3,10.1
Augsburg,15.3,4.9,8.2,13.8
Espanyol,9.5,2.9,8.2,13.7
Eintracht Frankfurt,11.2,4.2,8.2,13.7
Reims,10.7,4.1,8.2,12.8
Sunderland,10.9,3.5,8.1,10.2
Swansea,11.6,3.7,8.1,12.5
Sampdoria,10.9,3.9,7.9,14.4
Sassuolo,12.4,4.1,7.9,18.2
Sporting Gijon,10.5,3.5,7.8,11.1
Bologna,9.1,2.9,7.7,13.6
West Bromwich Albion,9.8,3.2,7.7,10.0
Getafe,10.9,3.9,7.4,12.2
Verona,9.8,2.9,7.3,14.4
Rayo Vallecano,12.2,4.2,7.2,12.3
Atalanta,12.0,3.6,7.2,15.6
Frosinone,12.8,3.8,7.1,15.5
Southampton,14.5,4.7,7.1,9.4
Angers,10.6,3.6,7.1,11.2
Real Sociedad,12.4,4.1,7.0,15.3
SC Bastia,8.2,2.8,7.0,12.2
Hoffenheim,10.9,3.2,6.9,14.2
Deportivo La Coruna,11.7,4.1,6.8,11.2
Ingolstadt,11.8,3.5,6.6,17.0
Caen,12.3,4.8,6.5,12.3
Eibar,10.6,3.9,6.5,10.1
Malaga,12.4,4.3,6.4,12.3
GFC Ajaccio,11.4,3.4,6.3,10.5
Guingamp,11.5,4.1,6.2,15.9
Saint-Etienne,12.1,3.8,6.1,11.2
Athletic Club,12.5,4.3,5.9,13.6
Villarreal,8.7,3.4,5.7,12.5
Chievo,11.4,3.3,5.5,14.3
Darmstadt,10.4,3.2,4.4,15.4
